userId,date,hours,powerAmount, price 
8878,01-Jan-2019,00:10:00,0, 3.50 
8878,01-Jan-2019,04:10:00,100, 3.50 
8878,01-Jan-2019,08:10:00,320, 3.50 
8878,01-Jan-2019,12:10:00,340, 3.50 
8878,01-Jan-2019,16:10:00,280, 3.50 
8878,01-Jan-2019,20:10:00,120, 3.50 
8878,02-Jan-2019,00:10:00,100, 3.50 
8878,02-Jan-2019,00:10:00,320, 3.50 
8878,02-Jan-2019,04:10:00,340, 3.50 
8878,02-Jan-2019,08:10:00,280, 3.50 
8878,02-Jan-2019,12:10:00,120, 3.50 
8878,02-Jan-2019,16:10:00,0, 3.50 
8878,02-Jan-2019,20:10:00,100, 3.50 
8878,03-Jan-2019,00:10:00,320, 3.50 
8878,03-Jan-2019,00:10:00,340, 3.50 
8878,03-Jan-2019,04:10:00,280, 3.50 
8878,03-Jan-2019,08:10:00,120, 3.50 
8878,03-Jan-2019,12:10:00,0, 3.50 
8878,03-Jan-2019,16:10:00,100, 3.50 
8878,03-Jan-2019,20:10:00,320, 3.50 
8878,03-Jan-2019,00:10:00,340, 3.50 
8878,03-Jan-2019,04:10:00,280, 3.50 
8878,03-Jan-2019,08:10:00,120, 3.50 
8878,03-Jan-2019,12:10:00,0, 3.50 
8878,03-Jan-2019,16:10:00,100, 3.50 
8878,03-Jan-2019,20:10:00,320, 3.50 
8878,04-Jan-2019,00:10:00,340, 3.50 
8878,04-Jan-2019,04:10:00,280, 3.50 
8878,04-Jan-2019,08:10:00,120, 3.50 
8878,04-Jan-2019,12:10:00,0, 3.50 
8878,04-Jan-2019,16:10:00,100, 3.50 
8878,04-Jan-2019,20:10:00,320, 3.50 
8878,05-Jan-2019,00:10:00,340, 3.50 
8878,05-Jan-2019,04:10:00,280, 3.50 
8878,05-Jan-2019,08:10:00,120, 3.50 
8878,05-Jan-2019,12:10:00,0, 3.50 
8878,05-Jan-2019,16:10:00,100, 3.50 
8878,05-Jan-2019,20:10:00,320, 3.50 
8878,06-Jan-2019,00:10:00,340, 3.50 
8878,06-Jan-2019,04:10:00,280, 3.50 
